"Step","stoic-sweep-10 - train_acc_step","stoic-sweep-10 - train_acc_step__MIN","stoic-sweep-10 - train_acc_step__MAX","wobbly-sweep-9 - train_acc_step","wobbly-sweep-9 - train_acc_step__MIN","wobbly-sweep-9 - train_acc_step__MAX","different-sweep-8 - train_acc_step","different-sweep-8 - train_acc_step__MIN","different-sweep-8 - train_acc_step__MAX","fresh-sweep-7 - train_acc_step","fresh-sweep-7 - train_acc_step__MIN","fresh-sweep-7 - train_acc_step__MAX","vague-sweep-6 - train_acc_step","vague-sweep-6 - train_acc_step__MIN","vague-sweep-6 - train_acc_step__MAX","autumn-sweep-5 - train_acc_step","autumn-sweep-5 - train_acc_step__MIN","autumn-sweep-5 - train_acc_step__MAX","peachy-sweep-4 - train_acc_step","peachy-sweep-4 - train_acc_step__MIN","peachy-sweep-4 - train_acc_step__MAX","resilient-sweep-3 - train_acc_step","resilient-sweep-3 - train_acc_step__MIN","resilient-sweep-3 - train_acc_step__MAX","crimson-sweep-2 - train_acc_step","crimson-sweep-2 - train_acc_step__MIN","crimson-sweep-2 - train_acc_step__MAX","legendary-sweep-1 - train_acc_step","legendary-sweep-1 - train_acc_step__MIN","legendary-sweep-1 - train_acc_step__MAX"
"53","0.3125","0.3125","0.3125","0.1875","0.1875","0.1875","0.28125","0.28125","0.28125","0.34375","0.34375","0.34375","0.3125","0.3125","0.3125","0.28125","0.28125","0.28125","0.25","0.25","0.25","0.09375","0.09375","0.09375","0.21875","0.21875","0.21875","0.046875","0.046875","0.046875"
"54","0.21875","0.21875","0.21875","0.1875","0.1875","0.1875","0.21875","0.21875","0.21875","0.25","0.25","0.25","0.3125","0.3125","0.3125","0.25","0.25","0.25","0.3125","0.3125","0.3125","0.125","0.125","0.125","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625"
"55","0.125","0.125","0.125","0.3125","0.3125","0.3125","0.15625","0.15625","0.15625","0.375","0.375","0.375","0.1875","0.1875","0.1875","0.25","0.25","0.25","0.375","0.375","0.375","0.03125","0.03125","0.03125","0.3125","0.3125","0.3125","0.15625","0.15625","0.15625"
"56","0.28125","0.28125","0.28125","0.3125","0.3125","0.3125","0.125","0.125","0.125","0.3125","0.3125","0.3125","0.375","0.375","0.375","0.1875","0.1875","0.1875","0.1875","0.1875","0.1875","0.09375","0.09375","0.09375","0.28125","0.28125","0.28125","0.046875","0.046875","0.046875"
"57","0.3125","0.3125","0.3125","0.125","0.125","0.125","0.21875","0.21875","0.21875","0.25","0.25","0.25","0.1875","0.1875","0.1875","0.125","0.125","0.125","0.3125","0.3125","0.3125","0.0625","0.0625","0.0625","0.3125","0.3125","0.3125","0.078125","0.078125","0.078125"
"58","0.25","0.25","0.25","0.1875","0.1875","0.1875","0.09375","0.09375","0.09375","0.28125","0.28125","0.28125","0.25","0.25","0.25","0.125","0.125","0.125","0.375","0.375","0.375","0.125","0.125","0.125","0.1875","0.1875","0.1875","0.09375","0.09375","0.09375"
"59","0.375","0.375","0.375","0.09375","0.09375","0.09375","0.3125","0.3125","0.3125","0.25","0.25","0.25","0.21875","0.21875","0.21875","0.28125","0.28125","0.28125","0.375","0.375","0.375","0.03125","0.03125","0.03125","0.25","0.25","0.25","0.03125","0.03125","0.03125"
"60","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.125","0.125","0.125"
"61","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.140625","0.140625","0.140625"
"62","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.015625","0.015625","0.015625"
